,A1,A2,A3,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
11101,-26.166725787479038,-29.60221102156893,-3.4354852341541386,40.96783129827031,-24.448983170417677,-31.319953638645693,81.6186387699284,170.45150071066868,-76.00457477942848,64.52569931605446,-12.838280378860578,-30.947908124742415
11102,-24.337182004445438,-28.819003056841304,-4.481821052460228,38.74668353287293,-22.096271478230936,-31.059913583070948,84.83633317563576,175.21386830505983,-69.56400470116722,68.55112090642665,-10.718400911450615,-29.212736953799805
11103,-22.46788204754247,-27.96578599407459,-5.49790394659659,36.45077504458663,-19.718930074259696,-30.71473796737226,87.58343114470993,179.6741814371613,-63.47731059319716,72.64491621021361,-8.358611946149093,-27.537816595728984
11104,-20.618824796563995,-27.19255795016989,-6.57373315367047,34.21510377165582,-17.331958219744187,-30.479424527004333,89.59993103866408,183.75244046233303,-57.74445695653277,76.57708632681462,-5.868912031464371,-25.943146001524752
11105,-18.920009118368267,-26.419317035982804,-7.499307917679221,32.12966763636656,-15.170355159543988,-30.168970994821468,92.14583123725006,187.65864582497113,-51.71540955314056,80.65763242772407,-2.9592997095271114,-24.18872410857977
11106,-17.241433866863915,-25.60606135636985,-8.364627489570719,30.044464545055746,-13.059120122093791,-29.788375101154095,92.24113013860695,191.0027980588636,-46.72013541250957,84.24655575678857,-0.3897735161239013,-22.784549840667474
11107,-15.533097882996215,-24.81278901023509,-9.279691127303742,27.939492388120676,-10.893252319359489,-29.452634573885682,92.8758261594095,194.29489778754322,-41.218602838199196,88.06385763046237,2.7996680192690206,-21.11062210792522
11108,-13.844999994733712,-23.949498090577052,-10.104498095908294,25.819749040029162,-8.792750946794616,-29.00174713852976,92.80991773501613,197.47494572463953,-35.63078141436381,91.73953943806092,6.229026373451862,-19.33693980683784
11109,-12.1671390170551,-23.026186684535947,-10.859047667545877,23.680232359330006,-6.737615183297119,-28.45571051830727,92.75340331961654,200.54294267422796,-29.65664201225409,95.25360264201309,9.698303029467223,-17.493501820221407
11110,-10.529513751936468,-22.052852873441104,-11.523339121569732,21.555940188663964,-4.767844191166466,-27.81452243422418,91.49628138637927,203.35888953117754,-23.58615679669452,98.44604877811152,13.01749947656591,-15.750307017207378
11111,-8.942122988338859,-21.059494732858713,-12.11737174458502,19.471870354775163,-2.8834371160611143,-27.11818060514926,90.0985504275986,206.20278728149611,-17.069299232536814,101.49687945576129,16.25661721017259,-13.987354253227027
11112,-7.394965502196113,-19.936110332639828,-12.541144830508934,17.363020668522978,-1.1243930869563137,-26.206682747892145,89.02020895484142,209.14463700267393,-9.866044091088915,104.59609635822696,19.545657731851314,-12.03464236999622
11113,-5.898040056403094,-18.692697736968597,-12.794657680630776,15.244388924894352,0.499288783897725,-25.090026577281655,87.46125549909362,212.08443986402472,-2.5863674565192416,107.4537012428778,22.494622549270872,-10.13217019550048
11114,-4.4513454008042,-17.269255004410844,-12.817909603671959,13.085972903016588,1.9576094010173137,-23.678209806244308,86.58168861090608,215.212197127025,5.129753267764194,110.45969594143124,25.37351317617005,-8.159936543980386
11115,-2.9248802721822136,-15.85578018796282,-12.930899915845968,10.852770366170597,3.540569685726407,-22.321230145883106,84.1915068605405,218.31791014565127,12.442339352760104,113.36408236019479,27.89233113232272,-6.257940215917302
11116,-1.398643394247488,-14.472271335100299,-13.073627940918211,8.634779061804618,5.13817057619736,-21.009085305556518,83.1107088381147,221.80158036671475,20.711410737545986,116.74686248030585,30.80107794350279,-3.916179998019429
11117,0.12736652237253487,-12.988726487827883,-13.11609301026586,6.3669967215484,6.685413027491314,-19.54677299295774,81.4392931537476,225.3832093301943,29.106986022976354,120.16803835797003,33.599755141449016,-1.444654663208177
